2025-08-31 10:13:50 [INFO]: SIGINT received, shutting down
2025-08-31 10:14:26 [INFO]: SIGINT received, shutting down
2025-08-31 10:19:51 [INFO]: SIGINT received, shutting down
2025-08-31 10:31:18 [INFO]: SIGINT received, shutting down
2025-08-31 10:47:19 [INFO]: SIGINT received, shutting down
2025-08-31 10:54:23 [INFO]: SIGINT received, shutting down
2025-08-31 10:57:14 [INFO]: SIGINT received, shutting down
2025-08-31 11:03:12 [INFO]: SIGINT received, shutting down
2025-08-31 11:08:02 [INFO]: SIGINT received, shutting down
2025-08-31 11:25:59 [INFO]: SIGINT received, shutting down
2025-08-31 11:31:20 [INFO]: SIGINT received, shutting down
